order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2024-10-15,2024,4,10,October,North America,Country_9,Clothing,Shirts,Home Office,6,73.89,443.34,317.18,126.17,0.2846
2023-12-16,2023,4,12,December,Latin America,Country_6,Clothing,Shirts,Consumer,6,249.02,1494.12,1182.1,312.01,0.2088
2024-05-11,2024,2,5,May,Asia Pacific,Country_9,Electronics,Tablets,Home Office,7,345.96,2421.74,1899.82,521.92,0.2155
2023-12-03,2023,4,12,December,North America,Country_8,Furniture,Beds,Corporate,2,17.09,34.17,18.7,15.47,0.4528
2024-05-14,2024,2,5,May,Asia Pacific,Country_3,Office Supplies,Binders,Home Office,3,106.37,319.12,254.0,65.12,0.2041
2023-06-07,2023,2,6,June,Asia Pacific,Country_8,Electronics,Laptops,Consumer,8,168.37,1346.95,768.79,578.16,0.4292
2024-12-30,2024,4,12,December,Europe,Country_3,Electronics,Laptops,Home Office,2,22.04,44.07,29.6,14.48,0.3285
2023-07-19,2023,3,7,July,Latin America,Country_8,Furniture,Beds,Consumer,2,119.59,239.18,188.22,50.97,0.2131
2023-07-08,2023,3,7,July,North America,Country_1,Electronics,Laptops,Corporate,6,300.87,1805.19,1011.37,793.82,0.4397
2022-03-21,2022,1,3,March,Asia Pacific,Country_3,Furniture,Beds,Home Office,7,200.88,1406.19,1035.55,370.63,0.2636
2024-06-04,2024,2,6,June,Europe,Country_3,Electronics,Laptops,Consumer,4,201.28,805.14,605.48,199.66,0.248
2024-12-13,2024,4,12,December,Latin America,Country_7,Clothing,Pants,Corporate,8,259.77,2078.16,1614.28,463.88,0.2232
2022-07-18,2022,3,7,July,Latin America,Country_7,Furniture,Chairs,Consumer,8,257.49,2059.89,1238.43,821.46,0.3988
2022-10-01,2022,4,10,October,Latin America,Country_5,Electronics,Tablets,Home Office,3,384.23,1152.7,832.03,320.67,0.2782
2023-02-20,2023,1,2,February,Latin America,Country_4,Furniture,Chairs,Consumer,1,35.5,35.5,22.55,12.95,0.3647
2024-10-29,2024,4,10,October,Europe,Country_2,Clothing,Shirts,Consumer,7,470.02,3290.14,2422.1,868.04,0.2638
2024-03-19,2024,1,3,March,Latin America,Country_5,Office Supplies,Paper,Home Office,3,37.57,112.72,66.82,45.89,0.4072
2022-01-18,2022,1,1,January,North America,Country_1,Clothing,Shirts,Home Office,6,489.74,2938.46,1725.82,1212.64,0.4127
2024-01-30,2024,1,1,January,Latin America,Country_1,Furniture,Tables,Corporate,6,255.92,1535.54,946.25,589.29,0.3838
2024-04-11,2024,2,4,April,Latin America,Country_1,Office Supplies,Pens,Home Office,1,117.21,117.21,62.21,55.01,0.4693
2024-05-17,2024,2,5,May,Asia Pacific,Country_5,Furniture,Beds,Home Office,2,45.29,90.57,60.97,29.6,0.3268
2024-09-19,2024,3,9,September,Asia Pacific,Country_5,Office Supplies,Paper,Corporate,4,110.58,442.32,290.53,151.78,0.3432
2022-09-16,2022,3,9,September,Asia Pacific,Country_7,Electronics,Laptops,Consumer,5,156.41,782.03,552.96,229.07,0.2929
2023-08-27,2023,3,8,August,Latin America,Country_2,Electronics,Smartphones,Home Office,9,70.3,632.68,454.93,177.75,0.2809
2024-02-26,2024,1,2,February,Latin America,Country_8,Electronics,Laptops,Consumer,6,249.65,1497.88,1006.47,491.41,0.3281
2023-11-05,2023,4,11,November,North America,Country_6,Office Supplies,Pens,Home Office,9,110.66,995.96,578.02,417.94,0.4196
2024-02-22,2024,1,2,February,Europe,Country_8,Clothing,Shoes,Corporate,9,458.78,4129.0,2691.93,1437.07,0.348
2024-11-15,2024,4,11,November,North America,Country_4,Electronics,Laptops,Corporate,2,135.58,271.16,211.31,59.85,0.2207
2022-11-29,2022,4,11,November,Latin America,Country_9,Clothing,Shirts,Consumer,5,390.63,1953.16,1450.32,502.84,0.2574
2024-04-10,2024,2,4,April,Latin America,Country_2,Office Supplies,Paper,Home Office,2,399.2,798.39,573.25,225.14,0.282
2022-01-21,2022,1,1,January,North America,Country_4,Office Supplies,Pens,Home Office,6,379.9,2279.38,1729.52,549.86,0.2412
2022-07-28,2022,3,7,July,Asia Pacific,Country_2,Electronics,Laptops,Consumer,4,13.2,52.8,27.14,25.66,0.486
2022-11-23,2022,4,11,November,Asia Pacific,Country_7,Furniture,Tables,Home Office,1,56.99,56.99,33.38,23.62,0.4144
2022-01-31,2022,1,1,January,Asia Pacific,Country_3,Clothing,Pants,Corporate,8,376.97,3015.8,2210.06,805.73,0.2672
2022-04-27,2022,2,4,April,Asia Pacific,Country_5,Electronics,Laptops,Home Office,1,405.96,405.96,253.19,152.77,0.3763
2024-01-05,2024,1,1,January,North America,Country_5,Clothing,Pants,Home Office,5,486.79,2433.96,1242.86,1191.11,0.4894
2023-09-23,2023,3,9,September,Latin America,Country_3,Office Supplies,Pens,Corporate,1,12.75,12.75,7.55,5.2,0.4081
2022-03-09,2022,1,3,March,Latin America,Country_7,Clothing,Shirts,Consumer,7,389.76,2728.31,1429.51,1298.8,0.476
2022-07-06,2022,3,7,July,North America,Country_1,Electronics,Laptops,Corporate,1,275.21,275.21,146.68,128.53,0.467
2023-08-17,2023,3,8,August,North America,Country_6,Clothing,Shirts,Consumer,4,354.68,1418.72,772.04,646.69,0.4558
2024-12-26,2024,4,12,December,Europe,Country_8,Clothing,Shirts,Consumer,2,73.53,147.06,99.68,47.39,0.3222
2024-08-25,2024,3,8,August,Latin America,Country_3,Furniture,Chairs,Corporate,1,457.52,457.52,329.48,128.04,0.2799
2024-03-09,2024,1,3,March,Latin America,Country_1,Office Supplies,Paper,Corporate,5,157.25,786.25,440.84,345.41,0.4393
2024-05-18,2024,2,5,May,Europe,Country_6,Office Supplies,Paper,Corporate,4,333.85,1335.39,854.96,480.44,0.3598
2024-12-10,2024,4,12,December,Asia Pacific,Country_9,Office Supplies,Binders,Home Office,4,472.62,1890.49,1198.94,691.55,0.3658
2023-02-21,2023,1,2,February,Asia Pacific,Country_2,Clothing,Shoes,Home Office,4,209.58,838.31,603.4,234.91,0.2802
2024-05-20,2024,2,5,May,North America,Country_8,Clothing,Shirts,Consumer,9,122.85,1105.61,812.3,293.31,0.2653
2023-12-27,2023,4,12,December,Asia Pacific,Country_4,Clothing,Shoes,Corporate,7,301.61,2111.29,1219.96,891.33,0.4222
2024-12-13,2024,4,12,December,Europe,Country_5,Electronics,Smartphones,Corporate,8,342.28,2738.22,2172.25,565.97,0.2067
2024-04-04,2024,2,4,April,Asia Pacific,Country_9,Office Supplies,Pens,Home Office,7,339.7,2377.89,1891.89,486.0,0.2044
2023-10-06,2023,4,10,October,Asia Pacific,Country_5,Furniture,Chairs,Consumer,4,255.61,1022.46,586.72,435.73,0.4262
2023-07-26,2023,3,7,July,Asia Pacific,Country_9,Office Supplies,Pens,Corporate,9,266.74,2400.64,1698.76,701.87,0.2924
2022-09-09,2022,3,9,September,North America,Country_7,Clothing,Pants,Corporate,2,45.66,91.32,66.02,25.31,0.2771
2023-01-25,2023,1,1,January,Latin America,Country_9,Office Supplies,Pens,Consumer,7,272.69,1908.84,1514.42,394.42,0.2066
2023-02-16,2023,1,2,February,Asia Pacific,Country_5,Electronics,Smartphones,Home Office,6,71.55,429.28,330.04,99.24,0.2312
2023-10-15,2023,4,10,October,Latin America,Country_4,Electronics,Smartphones,Corporate,9,26.35,237.12,130.88,106.24,0.4481
2023-06-30,2023,2,6,June,Asia Pacific,Country_1,Furniture,Tables,Home Office,6,247.51,1485.04,916.87,568.18,0.3826
2023-10-01,2023,4,10,October,North America,Country_4,Clothing,Shirts,Corporate,7,289.96,2029.7,1479.0,550.69,0.2713
2024-09-17,2024,3,9,September,Latin America,Country_9,Furniture,Tables,Home Office,2,428.03,856.06,496.69,359.37,0.4198
2024-09-11,2024,3,9,September,Europe,Country_2,Office Supplies,Binders,Home Office,4,254.52,1018.08,578.46,439.62,0.4318
2023-12-21,2023,4,12,December,Latin America,Country_2,Office Supplies,Paper,Consumer,4,61.97,247.89,162.04,85.84,0.3463
2022-12-18,2022,4,12,December,Asia Pacific,Country_5,Electronics,Tablets,Consumer,5,415.87,2079.34,1313.05,766.29,0.3685
2024-11-22,2024,4,11,November,Latin America,Country_3,Clothing,Shoes,Consumer,2,166.73,333.46,176.99,156.47,0.4692
2024-02-21,2024,1,2,February,North America,Country_7,Office Supplies,Paper,Corporate,9,434.28,3908.54,2586.43,1322.12,0.3383
2022-01-20,2022,1,1,January,Asia Pacific,Country_7,Furniture,Tables,Consumer,9,469.8,4228.16,2257.24,1970.93,0.4661
2024-05-07,2024,2,5,May,North America,Country_3,Clothing,Shoes,Home Office,2,395.47,790.94,446.31,344.63,0.4357
2023-02-01,2023,1,2,February,North America,Country_2,Electronics,Tablets,Corporate,7,192.33,1346.33,780.44,565.89,0.4203
2024-11-12,2024,4,11,November,Europe,Country_1,Office Supplies,Pens,Home Office,5,147.41,737.03,562.0,175.02,0.2375
2023-11-06,2023,4,11,November,Asia Pacific,Country_1,Electronics,Smartphones,Corporate,3,60.3,180.9,144.3,36.6,0.2023
2023-05-14,2023,2,5,May,North America,Country_4,Electronics,Tablets,Consumer,4,466.01,1864.05,1473.5,390.55,0.2095
2023-05-23,2023,2,5,May,North America,Country_8,Office Supplies,Pens,Home Office,5,411.91,2059.54,1406.7,652.85,0.317
2022-08-18,2022,3,8,August,North America,Country_9,Clothing,Pants,Corporate,9,145.77,1311.92,739.6,572.33,0.4362
2022-12-25,2022,4,12,December,Europe,Country_6,Electronics,Smartphones,Home Office,5,262.53,1312.67,879.22,433.45,0.3302
2023-12-03,2023,4,12,December,North America,Country_6,Clothing,Shoes,Consumer,8,425.02,3400.18,2384.25,1015.93,0.2988
2024-11-05,2024,4,11,November,Latin America,Country_5,Office Supplies,Binders,Consumer,7,451.42,3159.96,1895.23,1264.73,0.4002
2024-11-04,2024,4,11,November,Asia Pacific,Country_4,Clothing,Shoes,Corporate,8,366.35,2930.78,1714.24,1216.54,0.4151
2022-03-28,2022,1,3,March,Latin America,Country_7,Furniture,Beds,Home Office,5,287.59,1437.95,779.13,658.82,0.4582
2023-05-07,2023,2,5,May,Asia Pacific,Country_7,Electronics,Laptops,Home Office,2,78.58,157.16,95.27,61.89,0.3938
2024-12-26,2024,4,12,December,North America,Country_5,Clothing,Shirts,Consumer,9,50.48,454.35,247.36,207.0,0.4556
2022-06-01,2022,2,6,June,Europe,Country_3,Furniture,Chairs,Corporate,3,346.62,1039.86,705.44,334.42,0.3216
2024-03-24,2024,1,3,March,Latin America,Country_1,Furniture,Beds,Corporate,3,308.64,925.91,703.72,222.19,0.24
2022-11-24,2022,4,11,November,Latin America,Country_7,Office Supplies,Pens,Corporate,1,492.28,492.28,390.78,101.5,0.2062
2024-05-16,2024,2,5,May,Latin America,Country_2,Clothing,Shirts,Home Office,4,17.05,68.18,36.67,31.51,0.4622
2022-03-09,2022,1,3,March,Europe,Country_4,Clothing,Pants,Consumer,5,262.78,1313.91,983.31,330.6,0.2516
2022-10-07,2022,4,10,October,Europe,Country_7,Clothing,Shirts,Corporate,6,343.06,2058.34,1243.69,814.65,0.3958
2023-05-02,2023,2,5,May,Europe,Country_7,Office Supplies,Binders,Home Office,3,46.8,140.39,91.56,48.84,0.3479
2024-05-13,2024,2,5,May,North America,Country_3,Clothing,Pants,Corporate,9,71.98,647.85,366.43,281.42,0.4344
2024-11-03,2024,4,11,November,Latin America,Country_3,Electronics,Tablets,Corporate,2,298.79,597.58,332.84,264.74,0.443
2022-01-31,2022,1,1,January,Latin America,Country_5,Clothing,Shoes,Corporate,8,468.85,3750.79,2949.97,800.81,0.2135
2024-11-27,2024,4,11,November,Europe,Country_7,Furniture,Tables,Consumer,7,414.18,2899.23,1907.02,992.21,0.3422
2023-04-27,2023,2,4,April,North America,Country_3,Office Supplies,Binders,Consumer,5,150.92,754.62,513.69,240.93,0.3193
2022-10-13,2022,4,10,October,North America,Country_2,Furniture,Tables,Consumer,1,280.42,280.42,146.25,134.17,0.4785
2022-09-18,2022,3,9,September,Asia Pacific,Country_4,Electronics,Smartphones,Corporate,4,156.34,625.37,313.8,311.57,0.4982
2023-10-09,2023,4,10,October,North America,Country_6,Furniture,Chairs,Home Office,4,190.51,762.04,526.08,235.96,0.3096
2024-05-19,2024,2,5,May,Asia Pacific,Country_2,Furniture,Tables,Corporate,8,443.2,3545.6,2742.38,803.22,0.2265
2024-04-14,2024,2,4,April,Europe,Country_9,Furniture,Chairs,Corporate,9,190.03,1710.28,1265.43,444.85,0.2601
2024-11-13,2024,4,11,November,North America,Country_1,Clothing,Shoes,Corporate,6,279.18,1675.1,978.93,696.17,0.4156
2023-03-17,2023,1,3,March,North America,Country_1,Furniture,Chairs,Consumer,9,250.55,2254.95,1614.1,640.85,0.2842
2023-05-16,2023,2,5,May,North America,Country_7,Electronics,Smartphones,Corporate,8,460.55,3684.37,2288.04,1396.33,0.379
2024-04-07,2024,2,4,April,North America,Country_1,Clothing,Shoes,Consumer,6,47.75,286.47,151.35,135.12,0.4717
2022-10-16,2022,4,10,October,Latin America,Country_8,Office Supplies,Paper,Home Office,6,480.77,2884.65,1879.43,1005.22,0.3485
2022-07-28,2022,3,7,July,Asia Pacific,Country_3,Furniture,Tables,Corporate,7,91.57,640.99,504.4,136.59,0.2131
2024-03-26,2024,1,3,March,Europe,Country_3,Office Supplies,Paper,Home Office,8,414.35,3314.81,1882.64,1432.17,0.4321
2024-08-29,2024,3,8,August,North America,Country_3,Office Supplies,Pens,Corporate,5,125.87,629.36,381.55,247.8,0.3937
2023-07-05,2023,3,7,July,Asia Pacific,Country_6,Clothing,Shirts,Home Office,2,424.68,849.37,558.73,290.63,0.3422
2024-06-29,2024,2,6,June,Latin America,Country_6,Office Supplies,Paper,Consumer,9,227.95,2051.51,1397.99,653.52,0.3186
2023-11-12,2023,4,11,November,Asia Pacific,Country_7,Office Supplies,Paper,Corporate,4,143.8,575.2,332.55,242.65,0.4218
2023-06-01,2023,2,6,June,North America,Country_9,Office Supplies,Paper,Home Office,6,118.7,712.19,398.82,313.36,0.44
2023-05-22,2023,2,5,May,Latin America,Country_8,Furniture,Tables,Corporate,8,329.05,2632.38,1827.89,804.49,0.3056
2022-01-13,2022,1,1,January,Asia Pacific,Country_5,Electronics,Smartphones,Corporate,6,304.33,1825.96,1144.73,681.23,0.3731
2023-05-02,2023,2,5,May,North America,Country_9,Furniture,Tables,Home Office,1,172.09,172.09,99.26,72.84,0.4232
2024-03-10,2024,1,3,March,Europe,Country_5,Office Supplies,Paper,Consumer,2,87.01,174.02,132.26,41.77,0.24
2023-05-06,2023,2,5,May,Latin America,Country_1,Clothing,Shoes,Consumer,9,196.0,1763.98,931.56,832.42,0.4719
2024-07-29,2024,3,7,July,Asia Pacific,Country_9,Electronics,Laptops,Corporate,2,203.21,406.42,213.47,192.95,0.4748
2023-08-01,2023,3,8,August,North America,Country_8,Office Supplies,Paper,Consumer,1,322.93,322.93,176.74,146.19,0.4527
2022-02-02,2022,1,2,February,North America,Country_5,Clothing,Shirts,Home Office,6,405.32,2431.9,1265.03,1166.87,0.4798
2024-11-22,2024,4,11,November,Latin America,Country_7,Furniture,Chairs,Corporate,4,375.4,1501.62,897.43,604.18,0.4024
2024-11-19,2024,4,11,November,Latin America,Country_2,Office Supplies,Binders,Home Office,4,468.91,1875.62,1333.03,542.59,0.2893
2024-06-09,2024,2,6,June,Europe,Country_1,Furniture,Beds,Consumer,7,77.72,544.06,362.65,181.4,0.3334
2024-06-10,2024,2,6,June,Asia Pacific,Country_6,Furniture,Beds,Home Office,5,210.39,1051.97,542.84,509.13,0.484
2022-03-17,2022,1,3,March,Europe,Country_5,Clothing,Shirts,Corporate,9,15.55,139.98,106.05,33.93,0.2424
2024-08-09,2024,3,8,August,Europe,Country_9,Clothing,Shoes,Corporate,4,163.26,653.05,382.71,270.33,0.414
2024-01-16,2024,1,1,January,North America,Country_2,Electronics,Smartphones,Corporate,4,44.64,178.57,111.75,66.83,0.3742
2022-12-09,2022,4,12,December,North America,Country_4,Electronics,Smartphones,Home Office,5,142.9,714.51,499.36,215.15,0.3011
2022-09-09,2022,3,9,September,Europe,Country_8,Clothing,Pants,Corporate,6,272.35,1634.09,860.13,773.97,0.4736
2024-12-29,2024,4,12,December,Latin America,Country_1,Office Supplies,Paper,Consumer,3,189.69,569.07,430.64,138.43,0.2433
2022-11-19,2022,4,11,November,Europe,Country_7,Furniture,Beds,Home Office,7,374.08,2618.56,1394.49,1224.07,0.4675
2022-07-28,2022,3,7,July,Latin America,Country_5,Clothing,Shirts,Home Office,9,491.6,4424.43,2947.07,1477.36,0.3339
2024-07-25,2024,3,7,July,Europe,Country_7,Office Supplies,Binders,Consumer,4,493.08,1972.33,1451.83,520.5,0.2639
2023-06-20,2023,2,6,June,Latin America,Country_6,Electronics,Smartphones,Consumer,5,336.38,1681.88,1324.57,357.31,0.2124
2024-03-15,2024,1,3,March,North America,Country_4,Furniture,Tables,Consumer,2,420.45,840.89,622.17,218.73,0.2601
2023-04-28,2023,2,4,April,North America,Country_4,Furniture,Chairs,Home Office,1,74.6,74.6,57.61,16.99,0.2277
2022-03-22,2022,1,3,March,North America,Country_7,Clothing,Shirts,Consumer,6,347.14,2082.84,1146.04,936.8,0.4498
2023-06-08,2023,2,6,June,North America,Country_2,Furniture,Tables,Consumer,3,199.42,598.27,300.23,298.04,0.4982
2024-05-05,2024,2,5,May,North America,Country_6,Clothing,Shoes,Corporate,5,242.51,1212.57,874.26,338.31,0.279
2023-06-15,2023,2,6,June,Asia Pacific,Country_8,Clothing,Shoes,Home Office,5,73.15,365.74,263.64,102.11,0.2792
2022-07-20,2022,3,7,July,Europe,Country_5,Clothing,Shirts,Consumer,6,53.71,322.27,247.84,74.43,0.231
2024-01-01,2024,1,1,January,Asia Pacific,Country_5,Electronics,Laptops,Consumer,5,189.84,949.22,699.43,249.79,0.2632
2022-03-05,2022,1,3,March,Europe,Country_7,Office Supplies,Pens,Corporate,7,83.37,583.56,362.88,220.67,0.3782
2022-04-16,2022,2,4,April,Europe,Country_4,Clothing,Shirts,Home Office,9,221.35,1992.17,1514.52,477.65,0.2398
2023-05-09,2023,2,5,May,Asia Pacific,Country_9,Office Supplies,Paper,Consumer,7,409.72,2868.02,1522.23,1345.79,0.4692
2022-03-07,2022,1,3,March,Latin America,Country_6,Furniture,Beds,Home Office,3,94.87,284.61,205.27,79.34,0.2788
2024-11-02,2024,4,11,November,Latin America,Country_2,Clothing,Shirts,Corporate,7,310.66,2174.65,1506.27,668.39,0.3074
2024-04-18,2024,2,4,April,Asia Pacific,Country_5,Furniture,Beds,Consumer,4,274.69,1098.75,618.41,480.35,0.4372
2023-12-11,2023,4,12,December,North America,Country_5,Furniture,Tables,Home Office,8,215.63,1725.05,1288.28,436.77,0.2532
2022-08-07,2022,3,8,August,North America,Country_1,Furniture,Tables,Corporate,8,227.96,1823.66,1241.89,581.77,0.319
2023-06-01,2023,2,6,June,North America,Country_2,Office Supplies,Paper,Home Office,8,182.48,1459.88,767.02,692.86,0.4746
2023-09-05,2023,3,9,September,Latin America,Country_7,Electronics,Smartphones,Corporate,3,418.41,1255.23,679.16,576.07,0.4589
2022-09-29,2022,3,9,September,Latin America,Country_4,Clothing,Pants,Home Office,6,443.31,2659.83,1807.14,852.69,0.3206
2022-10-25,2022,4,10,October,Asia Pacific,Country_4,Office Supplies,Binders,Corporate,9,82.24,740.14,589.07,151.07,0.2041
2023-11-22,2023,4,11,November,Europe,Country_2,Clothing,Shoes,Consumer,6,425.62,2553.72,1390.44,1163.28,0.4555
2023-12-31,2023,4,12,December,Latin America,Country_7,Office Supplies,Paper,Consumer,1,428.45,428.45,262.93,165.52,0.3863
2023-10-19,2023,4,10,October,Europe,Country_3,Electronics,Smartphones,Consumer,8,40.92,327.39,240.22,87.16,0.2662
2023-04-13,2023,2,4,April,North America,Country_1,Office Supplies,Pens,Corporate,6,440.98,2645.86,1837.44,808.42,0.3055
2024-08-25,2024,3,8,August,Asia Pacific,Country_2,Clothing,Shoes,Consumer,9,216.57,1949.1,1349.33,599.76,0.3077
2024-05-07,2024,2,5,May,Asia Pacific,Country_3,Furniture,Tables,Corporate,4,419.85,1679.42,1203.49,475.93,0.2834
2022-10-21,2022,4,10,October,North America,Country_8,Clothing,Shoes,Home Office,8,62.78,502.23,357.57,144.66,0.288
2023-03-12,2023,1,3,March,Latin America,Country_3,Office Supplies,Binders,Home Office,9,495.27,4457.44,3317.57,1139.87,0.2557
2024-08-07,2024,3,8,August,Asia Pacific,Country_6,Furniture,Tables,Consumer,1,493.14,493.14,313.22,179.92,0.3649
2023-01-23,2023,1,1,January,Latin America,Country_8,Office Supplies,Pens,Corporate,6,431.24,2587.42,1856.1,731.32,0.2826
2024-01-26,2024,1,1,January,Europe,Country_6,Furniture,Beds,Consumer,2,124.17,248.33,173.25,75.08,0.3023
2022-01-28,2022,1,1,January,North America,Country_9,Clothing,Shirts,Home Office,9,473.62,4262.56,2736.06,1526.5,0.3581
2024-06-02,2024,2,6,June,Asia Pacific,Country_6,Electronics,Laptops,Consumer,7,381.61,2671.28,2033.29,637.98,0.2388
2024-08-11,2024,3,8,August,Latin America,Country_3,Electronics,Tablets,Consumer,9,174.02,1566.21,1237.09,329.12,0.2101
2024-04-01,2024,2,4,April,Europe,Country_6,Office Supplies,Binders,Consumer,7,229.49,1606.42,866.65,739.76,0.4605
2022-08-26,2022,3,8,August,North America,Country_1,Electronics,Smartphones,Corporate,6,159.56,957.37,683.28,274.09,0.2863
2022-07-01,2022,3,7,July,Latin America,Country_5,Clothing,Pants,Corporate,2,79.14,158.28,97.1,61.18,0.3866
2022-04-15,2022,2,4,April,North America,Country_4,Furniture,Tables,Home Office,8,213.67,1709.33,917.98,791.35,0.463
2024-08-03,2024,3,8,August,Asia Pacific,Country_9,Office Supplies,Paper,Corporate,5,496.27,2481.35,1543.1,938.26,0.3781
2024-01-28,2024,1,1,January,Europe,Country_5,Office Supplies,Pens,Corporate,8,492.68,3941.45,2127.36,1814.09,0.4603
2023-06-14,2023,2,6,June,Asia Pacific,Country_6,Clothing,Shoes,Home Office,2,28.23,56.47,37.9,18.57,0.3289
2024-02-10,2024,1,2,February,North America,Country_4,Office Supplies,Paper,Home Office,7,78.1,546.68,298.12,248.56,0.4547
2024-02-22,2024,1,2,February,Latin America,Country_1,Office Supplies,Binders,Corporate,1,394.46,394.46,245.39,149.07,0.3779
2024-02-20,2024,1,2,February,North America,Country_7,Clothing,Shoes,Home Office,3,411.57,1234.71,916.96,317.75,0.2573
2024-09-10,2024,3,9,September,Latin America,Country_5,Furniture,Beds,Consumer,2,437.55,875.09,500.36,374.73,0.4282
2023-03-21,2023,1,3,March,Asia Pacific,Country_7,Electronics,Laptops,Consumer,7,234.99,1644.92,967.89,677.03,0.4116
2023-02-03,2023,1,2,February,Europe,Country_2,Clothing,Shoes,Consumer,9,440.87,3967.82,2596.78,1371.04,0.3455
2022-07-03,2022,3,7,July,Asia Pacific,Country_1,Clothing,Shoes,Consumer,2,451.18,902.35,601.83,300.52,0.333
2023-12-17,2023,4,12,December,Europe,Country_7,Clothing,Shirts,Corporate,3,111.58,334.75,265.59,69.16,0.2066
2024-08-07,2024,3,8,August,Latin America,Country_3,Furniture,Chairs,Corporate,4,401.81,1607.24,984.02,623.21,0.3878
2022-05-03,2022,2,5,May,Europe,Country_3,Electronics,Smartphones,Consumer,9,150.82,1357.37,962.77,394.6,0.2907
2023-03-07,2023,1,3,March,Asia Pacific,Country_9,Office Supplies,Binders,Home Office,8,38.23,305.82,179.78,126.05,0.4122
2023-10-13,2023,4,10,October,Latin America,Country_7,Electronics,Laptops,Corporate,1,48.57,48.57,34.41,14.16,0.2915
2022-10-02,2022,4,10,October,Europe,Country_3,Clothing,Shoes,Corporate,2,96.64,193.28,118.8,74.49,0.3854
2024-04-04,2024,2,4,April,Europe,Country_8,Furniture,Beds,Home Office,3,15.0,45.01,27.69,17.32,0.3847
2023-12-18,2023,4,12,December,Europe,Country_8,Furniture,Tables,Corporate,7,489.83,3428.83,2012.99,1415.84,0.4129
2024-07-16,2024,3,7,July,Europe,Country_4,Electronics,Smartphones,Home Office,6,421.8,2530.82,1688.38,842.44,0.3329
2023-08-04,2023,3,8,August,North America,Country_2,Furniture,Beds,Home Office,9,271.64,2444.74,1616.21,828.53,0.3389
2023-07-18,2023,3,7,July,North America,Country_6,Furniture,Tables,Consumer,2,353.15,706.3,505.77,200.53,0.2839
2023-01-24,2023,1,1,January,Latin America,Country_5,Office Supplies,Pens,Home Office,7,385.44,2698.08,1594.05,1104.03,0.4092
2022-07-10,2022,3,7,July,Asia Pacific,Country_2,Office Supplies,Binders,Consumer,3,34.75,104.25,77.83,26.42,0.2534
2023-07-29,2023,3,7,July,Latin America,Country_5,Office Supplies,Binders,Corporate,2,23.1,46.2,25.38,20.82,0.4506
2024-09-10,2024,3,9,September,North America,Country_2,Clothing,Shirts,Corporate,4,20.28,81.12,40.98,40.14,0.4948
2022-06-15,2022,2,6,June,Europe,Country_3,Furniture,Beds,Corporate,4,104.53,418.14,321.99,96.15,0.2299
2022-07-16,2022,3,7,July,Asia Pacific,Country_8,Electronics,Smartphones,Consumer,1,374.9,374.9,208.79,166.1,0.4431
2022-09-13,2022,3,9,September,North America,Country_9,Furniture,Beds,Corporate,3,494.92,1484.75,991.04,493.71,0.3325
2023-10-03,2023,4,10,October,Asia Pacific,Country_3,Electronics,Tablets,Consumer,5,142.11,710.53,377.91,332.62,0.4681
2022-10-27,2022,4,10,October,Europe,Country_7,Clothing,Shoes,Home Office,1,118.6,118.6,75.23,43.37,0.3657
2024-03-18,2024,1,3,March,Latin America,Country_7,Clothing,Shirts,Home Office,1,298.99,298.99,174.62,124.37,0.416
2023-03-25,2023,1,3,March,North America,Country_6,Office Supplies,Binders,Home Office,7,379.03,2653.18,2045.27,607.91,0.2291
2022-12-02,2022,4,12,December,Asia Pacific,Country_9,Furniture,Tables,Corporate,6,427.49,2564.97,1763.67,801.29,0.3124
2024-07-25,2024,3,7,July,Asia Pacific,Country_1,Office Supplies,Binders,Corporate,3,113.69,341.08,224.26,116.82,0.3425
2022-10-19,2022,4,10,October,Asia Pacific,Country_1,Electronics,Laptops,Corporate,9,314.35,2829.15,1936.92,892.23,0.3154
2022-03-05,2022,1,3,March,Europe,Country_4,Electronics,Laptops,Corporate,5,287.22,1436.11,1120.17,315.94,0.22
2024-11-28,2024,4,11,November,Asia Pacific,Country_2,Office Supplies,Pens,Home Office,8,25.05,200.4,146.51,53.89,0.2689
2023-12-30,2023,4,12,December,Asia Pacific,Country_6,Furniture,Beds,Consumer,5,188.94,944.71,550.38,394.33,0.4174
2022-11-24,2022,4,11,November,Latin America,Country_3,Office Supplies,Pens,Corporate,3,447.92,1343.75,924.07,419.68,0.3123
2024-10-25,2024,4,10,October,Asia Pacific,Country_5,Electronics,Tablets,Corporate,8,442.44,3539.49,2550.84,988.65,0.2793
2024-07-03,2024,3,7,July,Latin America,Country_3,Electronics,Tablets,Corporate,1,68.75,68.75,44.68,24.07,0.3501
2024-06-28,2024,2,6,June,Latin America,Country_6,Office Supplies,Pens,Home Office,2,334.35,668.7,368.99,299.71,0.4482
2023-07-03,2023,3,7,July,Asia Pacific,Country_6,Office Supplies,Pens,Corporate,3,152.85,458.55,302.21,156.34,0.341
2023-11-05,2023,4,11,November,Europe,Country_6,Office Supplies,Binders,Corporate,9,412.39,3711.53,2968.0,743.53,0.2003
2023-06-10,2023,2,6,June,North America,Country_2,Furniture,Chairs,Corporate,7,320.03,2240.22,1483.66,756.55,0.3377
2024-04-14,2024,2,4,April,Europe,Country_5,Clothing,Pants,Corporate,7,98.79,691.5,364.71,326.79,0.4726
